string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | CHECK [الزهري حديثه وسيرته]
",000,False,000,False,False,False,1,33034
"### || AUTO علماء الجرح والتعديل:
",000,False,000,False,False,False,2,357
"### || AUTO تساؤل!
",000,False,000,False,False,False,2,69
"### || AUTO هذا الكتاب:
",000,False,000,False,False,False,2,275
"### || AUTO المؤلف في سطور
",000,False,000,False,False,False,2,778
"### ||| AUTO نسبه:
",000,False,000,False,False,False,3,79
"### ||| AUTO مولده ونشأته:
",000,False,000,False,False,False,3,156
"### ||| AUTO ثناء العلماء عليه:
",000,False,000,False,False,False,3,192
"### || AUTO [مقدمة المؤلف]
",000,False,000,False,False,False,2,349
"### || AUTO الفصل الأول في عدد من روايات الزهري التي يتهم فيها
",000,False,000,False,False,False,2,15058
"### ||| AUTO الحديث الأول
",000,False,000,False,False,False,3,2619
"### |||| AUTO نكارة هذه الرواية
",000,False,000,False,False,False,4,1714
"### ||| AUTO الحديث الثاني
",000,False,000,False,False,False,3,451
"### |||| AUTO النكارة في هذه الرواية
",000,False,000,False,False,False,4,213
"### ||| AUTO الحديث الثالث
",000,False,000,False,False,False,3,212
"### |||| AUTO النكارة في هذا
",000,False,000,False,False,False,4,98
"### ||| AUTO الحديث الرابع
",000,False,000,False,False,False,3,726
"### ||| AUTO الحديث الخامس
",000,False,000,False,False,False,3,1452
"### |||| AUTO النكارة في هذا
",000,False,000,False,False,False,4,813
"### |||| AUTO هذا ملخص الرواية.
",000,False,000,False,False,False,4,285
"### ||| AUTO الحديث السادس
",000,False,000,False,False,False,3,614
"### ||| AUTO فصل في روايات قد يعترض بها على دعوى تفرد الزهري بروايته
",000,False,000,False,False,False,3,896
"### ||| AUTO الحديث السادس
",000,False,000,False,False,False,3,338
"### |||| AUTO النكارة في هذه الرواية
",000,False,000,False,False,False,4,260
"### ||| AUTO الحديث السابع
",000,False,000,False,False,False,3,907
"### |||| AUTO نكارة تتجلى من وجوه ms034:
",000,False,000,False,False,False,4,747
"### ||| AUTO الحديث الثامن
",000,False,000,False,False,False,3,660
"### |||| AUTO النكارة في هذا
",000,False,000,False,False,False,4,489
"### ||| AUTO الحديث التاسع
",000,False,000,False,False,False,3,1641
"### |||| AUTO النكارة في هذه الرواية
",000,False,000,False,False,False,4,593
"### ||| AUTO الحديث العاشر
",000,False,000,False,False,False,3,342
"### |||| AUTO النكارة في هذه الرواية
",000,False,000,False,False,False,4,111
"### ||| AUTO فصل مما يتهم به الزهري
",000,False,000,False,False,False,3,372
"### ||| AUTO الباعث على وضع الرواية
",000,False,000,False,False,False,3,366
"### ||| AUTO ### ||| AUTO فصل
",000,False,000,False,False,False,3,331
"### ||| AUTO فصل
",000,False,000,False,False,False,3,383
"### ||| AUTO فصل
",000,False,000,False,False,False,3,928
"### ||| AUTO فصل
",000,False,000,False,False,False,3,1089
