string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,200
"### | سورة الفاتحة فيها خمس آيات
",000,False,000,False,False,False,1,1470
"### || الآية الأولى
",000,False,000,False,False,False,2,533
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,388
"### || الآية الثانية
",000,False,000,False,False,False,2,157
"### || الآية الثالثة
",000,False,000,False,False,False,2,243
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,90
"### | سورة البقرة
",000,False,000,False,False,False,1,64283
"### || الآية الأولى
",000,False,000,False,False,False,2,180
"### ||| المسألة الأولى ( @QB@ يؤمنون @QE@ )
",000,False,000,False,False,False,3,21
"### || الآية الثانية
",000,False,000,False,False,False,2,244
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,194
"### || الآية الثالثة
",000,False,000,False,False,False,2,354
"### ||| المسألة الأولى في اشتقاق النفقة
",000,False,000,False,False,False,3,40
"### || الآية الرابعة
",000,False,000,False,False,False,2,335
"### || الآية الخامسة
",000,False,000,False,False,False,2,147
"### || الآية السادسة
",000,False,000,False,False,False,2,441
"### || الآية السابعة
",000,False,000,False,False,False,2,174
"### || الآية الثامنة
",000,False,000,False,False,False,2,122
"### || الآية التاسعة
",000,False,000,False,False,False,2,83
"### || الآية العاشرة
",000,False,000,False,False,False,2,711
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,269
"### || الآية الحادية عشرة
",000,False,000,False,False,False,2,275
"### ||| المسألة الأولى بأي شيء سترها
",000,False,000,False,False,False,3,119
"### || الآية الثانية عشرة
",000,False,000,False,False,False,2,141
"### || الآية الثالثة عشرة
",000,False,000,False,False,False,2,340
"### || الآية الرابعة عشرة
",000,False,000,False,False,False,2,969
"### ||| المسألة الأولى في سبب ذلك
",000,False,000,False,False,False,3,122
"### ||| المسألة الثانية في الحديث عن بني إسرائيل
",000,False,000,False,False,False,3,119
"### ||| المسألة الثالثة أخبرهم سبحانه في هذه القصة عن حكم جرى في زمن موسى عليه السلام هل يلزمنا حكمه أم لا
",000,False,000,False,False,False,3,300
"### ||| المسألة الرابعة
",000,False,000,False,False,False,3,337
"### || الآية الخامسة عشرة
",000,False,000,False,False,False,2,1485
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,228
"### ||| المسألة الثانية
",000,False,000,False,False,False,3,145
"### ||| المسألة الثالثة
",000,False,000,False,False,False,3,29
"### ||| المسألة الرابعة
",000,False,000,False,False,False,3,161
"### ||| فإن قيل وهي المسألة الخامسة
",000,False,000,False,False,False,3,73
"### ||| المسألة السادسة
",000,False,000,False,False,False,3,615
"### ||| المسألة السابعة
",000,False,000,False,False,False,3,133
"### ||| المسألة الثامنة
",000,False,000,False,False,False,3,38
"### || الآية السادسة عشرة
",000,False,000,False,False,False,2,142
"### || الآية السابعة عشرة
",000,False,000,False,False,False,2,239
"### ||| المسألة الأولى فيمن نزلت
",000,False,000,False,False,False,3,57
"### ||| المسألة الثانية فائدة الآية
",000,False,000,False,False,False,3,36
"### ||| المسألة الثالثة
",000,False,000,False,False,False,3,75
"### || الآية الثامنة عشرة
",000,False,000,False,False,False,2,488
"### ||| المسألة الأولى في سبب نزولها
",000,False,000,False,False,False,3,288
"### ||| المسألة الثانية
",000,False,000,False,False,False,3,32
"### ||| المسألة الثالثة
",000,False,000,False,False,False,3,107
"### || الآية التاسعة عشرة
",000,False,000,False,False,False,2,438
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,37
"### ||| المسألة الثانية قوله تعالى ( @QB@ بكلمات @QE@ ) هي
",000,False,000,False,False,False,3,60
"### || الآية الموفية عشرين
",000,False,000,False,False,False,2,470
"### || الآية الحادية والعشرين
",000,False,000,False,False,False,2,238
"### || الآية الثانية والعشرون
",000,False,000,False,False,False,2,110
"### || الآية الثالثة والعشرون
",000,False,000,False,False,False,2,121
"### || الآية الرابعة والعشرون
",000,False,000,False,False,False,2,400
"### || الآية الخامسة والعشرون
",000,False,000,False,False,False,2,229
"### || الآية السادسة والعشرون
",000,False,000,False,False,False,2,513
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,134
"### || الآية السابعة والعشرون
",000,False,000,False,False,False,2,126
"### || الآية الثامنة والعشرون
",000,False,000,False,False,False,2,666
"### ||| المسألة الأولى في سبب نزولها
",000,False,000,False,False,False,3,36
"### ||| المسألة الثانية
",000,False,000,False,False,False,3,41
"### ||| المسألة الثالثة قوله تعالى ( @QB@ فلا جناح عليه @QE@
",000,False,000,False,False,False,3,36
"### ||| المسألة الرابعة
",000,False,000,False,False,False,3,391
"### |||| تحقيق هذا الحديث وتفهيمه
",000,False,000,False,False,False,4,184
"### ||| المسألة الخامسة
",000,False,000,False,False,False,3,84
"### || الآية التاسعة والعشرون
",000,False,000,False,False,False,2,317
"### || الآية الموفية ثلاثين
",000,False,000,False,False,False,2,367
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,156
"### ||| تركيب وهي المسألة الثانية
",000,False,000,False,False,False,3,66
"### || الآية الحادية والثلاثون
",000,False,000,False,False,False,2,2067
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,99
"### ||| المسألة الثانية قوله تعالى ( @QB@ الميتة @QE@ )
",000,False,000,False,False,False,3,45
"### ||| المسألة الثالثة في شعرها وصوفها وقرنها
",000,False,000,False,False,False,3,22
"### ||| المسألة الرابعة في عموم هذه الآية وخصوصها
",000,False,000,False,False,False,3,382
"### ||| المسألة الخامسة قوله تعالى ( @QB@ والدم @QE@ )
",000,False,000,False,False,False,3,118
"### ||| المسألة السادسة قوله تعالى ( @QB@ ولحم الخنزير @QE@ )
",000,False,000,False,False,False,3,156
"### ||| المسألة السابعة قوله تعالى ( @QB@ وما أهل به لغير الله @QE@ )
",000,False,000,False,False,False,3,15
"### ||| المسألة الثامنة قوله تعالى ( @QB@ فمن اضطر @QE@ )
",000,False,000,False,False,False,3,215
"### ||| المسألة التاسعة
",000,False,000,False,False,False,3,132
"### ||| المسألة العاشرة
",000,False,000,False,False,False,3,110
"### ||| المسألة الحادية عشرة
",000,False,000,False,False,False,3,187
"### ||| المسألة الثانية عشرة قوله تعالى ( @QB@ غير باغ ولا عاد @QE@ )
",000,False,000,False,False,False,3,197
"### ||| المسألة الثالثة عشرة
",000,False,000,False,False,False,3,64
"### ||| المسألة الرابعة عشرة
",000,False,000,False,False,False,3,233
"### || الآية الثانية والثلاثون
",000,False,000,False,False,False,2,281
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,110
"### ||| المسألة الثانية قوله تعالى ( @QB@ والمساكين @QE@ )
",000,False,000,False,False,False,3,41
"### ||| المسألة الثالثة قوله تعالى ( @QB@ وفي الرقاب @QE@ )
",000,False,000,False,False,False,3,35
"### || الآية الثالثة والثلاثون
",000,False,000,False,False,False,2,2319
"### ||| المسألة الأولى في سبب نزولها
",000,False,000,False,False,False,3,75
"### ||| المسألة الثانية
",000,False,000,False,False,False,3,43
"### ||| المسألة الثالثة
",000,False,000,False,False,False,3,403
"### ||| المسألة الرابعة قوله تعالى ( @QB@ الحر بالحر @QE@ )
",000,False,000,False,False,False,3,146
"### ||| فإن قيل وهي المسألة الخامسة
",000,False,000,False,False,False,3,227
"### ||| المسالة السادسة
",000,False,000,False,False,False,3,142
"### ||| المسألة السابعة هل يقتل الأب بولده مع عموم آيات القصاص
",000,False,000,False,False,False,3,167
"### ||| المسألة الثامنة [ قتل الجماعة بالواحد ]
",000,False,000,False,False,False,3,171
"### ||| المسألة التاسعة قوله تعالى ( @QB@ فمن عفي له من أخيه شيء @QE@ ) إلى آخرها
",000,False,000,False,False,False,3,834
"### ||| المسألة العاشرة
",000,False,000,False,False,False,3,73
"### || الآية الرابعة والثلاثون
",000,False,000,False,False,False,2,1009
"### ||| المسألة الأولى قوله تعالى ( @QB@ كتب عليكم @QE@ )
",000,False,000,False,False,False,3,53
"### ||| المسألة الثانية قوله تعالى ( @QB@ إذا حضر أحدكم الموت @QE@ )
",000,False,000,False,False,False,3,119
"### ||| المسألة الثالثة قوله تعالى ( @QB@ الوصية @QE@ )
",000,False,000,False,False,False,3,26
"### ||| المسألة الرابعة
",000,False,000,False,False,False,3,47
"### ||| المسألة الخامسة في حكمها
",000,False,000,False,False,False,3,105
"### ||| المسألة السادسة قوله تعالى ( @QB@ إن ترك خيرا @QE@ )
",000,False,000,False,False,False,3,126
"### ||| المسألة السابعة في كيفية الوصية للوالدين والأقربين
",000,False,000,False,False,False,3,90
"### ||| المسألة الثامنة قوله تعالى ( @QB@ بالمعروف @QE@ )
",000,False,000,False,False,False,3,127
"### ||| المسألة التاسعة قوله تعالى ( @QB@ حقا @QE@ )
",000,False,000,False,False,False,3,56
"### ||| المسألة العاشرة قوله تعالى ( @QB@ على المتقين @QE@ )
",000,False,000,False,False,False,3,85
"### ||| المسألة الحادية عشرة قوله تعالى ( @QB@ فمن بدله بعد ما سمعه @QE@ )
",000,False,000,False,False,False,3,36
"### ||| المسألة الثانية عشرة قوله تعالى ( @QB@ فإنما إثمه على الذين يبدلونه @QE@ )
",000,False,000,False,False,False,3,79
"### ||| المسألة الثالثة عشرة قوله تعالى ( @QB@ فمن خاف من موص جنفا أو إثما @QE@ )
",000,False,000,False,False,False,3,68
"### || الآية الخامسة والثلاثون
",000,False,000,False,False,False,2,1859
"### ||| المسألة الأولى قوله تعالى ( @QB@ كتب عليكم @QE@ )
",000,False,000,False,False,False,3,10
"### ||| المسألة الثانية قوله تعالى ( @QB@ الصيام @QE@ )
",000,False,000,False,False,False,3,49
"### ||| المسألة الثالثة قوله تعالى ( @QB@ كما كتب على الذين من قبلكم @QE@ ) 
",000,False,000,False,False,False,3,71
"### ||| المسألة الرابعة قوله تعالى ( @QB@ كما كتب @QE@ )
",000,False,000,False,False,False,3,220
"### ||| المسألة الخامسة قوله تعالى ( @QB@ لعلكم تتقون @QE@ )
",000,False,000,False,False,False,3,252
"### ||| المسألة السادسة قوله تعالى ( @QB@ أياما معدودات @QE@ )
",000,False,000,False,False,False,3,47
"### ||| المسألة السابعة
",000,False,000,False,False,False,3,71
"### ||| المسألة الثامنة قوله تعالى ( @QB@ فمن كان منكم مريضا أو على سفر @QE@
",000,False,000,False,False,False,3,401
"### ||| المسألة العاشرة قوله تعالى ( @QB@ فعدة من أيام أخر @QE@ )
",000,False,000,False,False,False,3,83
"### ||| المسألة الحادية عشرة قوله تعالى ( @QB@ فعدة من أيام أخر @QE@ )
",000,False,000,False,False,False,3,40
"### ||| المسألة الثانية عشرة قوله تعالى ( @QB@ فعدة من أيام أخر @QE@ )
",000,False,000,False,False,False,3,85
"### ||| المسألة الثالثة عشرة قوله تعالى ( @QB@ وعلى الذين يطيقونه فدية طعام مسكين @QE@ )
",000,False,000,False,False,False,3,73
"### ||| المسألة الرابعة عشرة
",000,False,000,False,False,False,3,109
"### ||| المسألة الخامسة عشرة قوله تعالى ( @QB@ فمن تطوع خيرا فهو خير له @QE@
",000,False,000,False,False,False,3,192
"### || الآية السادسة والثلاثون
",000,False,000,False,False,False,2,1924
"### ||| المسألة الأولى قوله تعالى ( @QB@ شهر رمضان @QE@ )
",000,False,000,False,False,False,3,89
"### ||| المسألة الثانية قوله تعالى ( شهر رمضان )
",000,False,000,False,False,False,3,103
"### ||| المسألة الثالثة قوله تعالى ( @QB@ فمن شهد منكم الشهر فليصمه @QE@ )
",000,False,000,False,False,False,3,108
"### ||| المسألة الرابعة قوله تعالى ( @QB@ فمن شهد منكم الشهر @QE@ )
",000,False,000,False,False,False,3,79
"### ||| المسألة الخامسة
",000,False,000,False,False,False,3,64
"### ||| المسألة السادسة
",000,False,000,False,False,False,3,267
"### ||| المسألة السابعة
",000,False,000,False,False,False,3,177
"### ||| المسألة الثامنة قوله تعالى ( @QB@ ولتكملوا العدة @QE@ )
",000,False,000,False,False,False,3,40
"### || الآية السابعة والثلاثون
",000,False,000,False,False,False,2,1826
"### ||| المسألة الأولى في سبب نزولها
",000,False,000,False,False,False,3,187
"### ||| المسألة الثانية في الرفث
",000,False,000,False,False,False,3,57
"### ||| المسألة الثالثة قوله تعالى ( @QB@ هن لباس لكم @QE@ )
",000,False,000,False,False,False,3,56
"### ||| المسألة الرابعة قوله تعالى ( @QB@ علم الله أنكم كنتم تختانون أنفسكم @QE@ )
",000,False,000,False,False,False,3,50
"### ||| المسألة الخامسة قوله تعالى ( @QB@ فتاب عليكم @QE@ )
",000,False,000,False,False,False,3,83
"### ||| المسألة السادسة [ قوله تعالى ] ( @QB@ فالآن باشروهن @QE@ )
",000,False,000,False,False,False,3,49
"### ||| المسألة السابعة قوله تعالى ( @QB@ وابتغوا ما كتب الله لكم @QE@ )
",000,False,000,False,False,False,3,51
"### ||| المسألة الثامنة قوله تعالى ( @QB@ وكلوا واشربوا @QE@ )
",000,False,000,False,False,False,3,30
"### ||| المسألة التاسعة قوله تعالى ( @QB@ حتى يتبين لكم الخيط الأبيض من الخيط الأسود من الفجر @QE@ )
",000,False,000,False,False,False,3,98
"### ||| المسألة العاشرة قوله تعالى ( @QB@ ثم أتموا الصيام إلى الليل @QE@ )
",000,False,000,False,False,False,3,84
"### ||| المسألة الحادية عشرة
",000,False,000,False,False,False,3,112
"### ||| المسالة الثانية عشرة
",000,False,000,False,False,False,3,163
"### ||| المسألة الثالثة عشرة لما قال الله تعالى ( @QB@ فالآن باشروهن وابتغوا ما كتب الله لكم وكلوا واشربوا حتى يتبين لكم الخيط الأبيض من الخيط الأسود من الفجر @QE@ 
",000,False,000,False,False,False,3,201
"### ||| المسألة الرابعة عشرة
",000,False,000,False,False,False,3,130
"### ||| المسألة الخامسة عشرة
",000,False,000,False,False,False,3,61
"### ||| المسألة السادسة عشرة قوله تعالى ( @QB@ ولا تباشروهن وأنتم عاكفون في المساجد @QE@ )
",000,False,000,False,False,False,3,176
"### ||| المسألة السابعة عشرة قوله تعالى ( @QB@ في المساجد @QE@ )
",000,False,000,False,False,False,3,78
"### ||| المسألة الثامنة عشرة وهي بديعة
",000,False,000,False,False,False,3,131
"### || الآية الثامنة والثلاثون
",000,False,000,False,False,False,2,479
"### ||| المسألة الأولى
",000,False,000,False,False,False,3,34
"### ||| المسألة الثانية
",000,False,000,False,False,False,3,54
"### ||| المسألة الثالثة قوله تعالى ( @QB@ ولا تأكلوا أموالكم @QE@ )
",000,False,000,False,False,False,3,88
"### ||| المسألة الرابعة قوله تعالى ( @QB@ ولا تأكلوا @QE@ )
",000,False,000,False,False,False,3,37
"### ||| المسألة الخامسة قوله تعالى ( @QB@ بالباطل @QE@ )
",000,False,000,False,False,False,3,49
"### ||| المسالة السادسة قوله تعالى ( @QB@ وتدلوا بها إلى الحكام @QE@ )
",000,False,000,False,False,False,3,58
"### ||| المسألة السابعة
",000,False,000,False,False,False,3,58
"### ||| المسألة الثامنة
",000,False,000,False,False,False,3,55
"### || الآية التاسعة والثلاثون
",000,False,000,False,False,False,2,750
"### ||| المسألة الأولى في سبب نزولها
",000,False,000,False,False,False,3,83
"### ||| المسألة الثانية قوله تعالى ( @QB@ قل هي مواقيت للناس @QE@ )
",000,False,000,False,False,False,3,28
"### ||| المسألة الثالثة قوله تعالى ( @QB@ والحج @QE@ )
",000,False,000,False,False,False,3,30
"### ||| المسألة الرابعة
",000,False,000,False,False,False,3,70
"### ||| المسألة الخامسة إذا رأى أحد الهلال كبيرا
",000,False,000,False,False,False,3,94
"### ||| المسألة السادسة إذا رئي قبل الزوال فهو لليلة المستقبلة
",000,False,000,False,False,False,3,39
"### ||| المسألة السابعة
",000,False,000,False,False,False,3,17
"### ||| المسألة الثامنة
",000,False,000,False,False,False,3,100
"### ||| المسألة التاسعة قوله تعالى ( @QB@ وليس البر بأن تأتوا البيوت من ظهورها @QE@ )
",000,False,000,False,False,False,3,122
"### ||| المسألة العاشرة في تأويلها ثلاثة أقوال
",000,False,000,False,False,False,3,41
"### ||| المسألة الحادية عشرة في تحقيق هذه الأقوال
",000,False,000,False,False,False,3,84
"### || الآية الموفية أربعين
",000,False,000,False,False,False,2,1145
