string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO [1]
",000,False,000,False,False,False,1,30
"### | AUTO 1)
",000,False,000,False,False,False,1,16
"### | AUTO 1
",000,False,000,False,False,False,1,1697
"### || CHECK تأويل خبر من تعلم القرآن ثم نسيه لقى الله تعالى وهو أجذم
",000,False,000,False,False,False,2,743
"### || CHECK مسألة في القول بوجوب الأصلح عليه تعالى
",000,False,000,False,False,False,2,372
"### | AUTO [2]
",000,False,000,False,False,False,1,67
"### | AUTO 2)
",000,False,000,False,False,False,1,2517
"### || CHECK فصل تأويل قوله تعالى: والأرض مددناها ...
",000,False,000,False,False,False,2,297
"### || CHECK تفسير معنى""اللحن"" عند العرب
",000,False,000,False,False,False,2,247
"### || AUTO [خبر أسير بنى العنبر فى بكر بن وائل ورسالته إلى قومه وشرح ما فيه من كنايات]
",000,False,000,False,False,False,2,182
"### || CHECK تأويل خبر""من أحبنا أهل البيت؛ فليستعد للفقر جلبابا، أو تجفافا
",000,False,000,False,False,False,2,369
"### || CHECK فصل ذكر بعض أخبار الشعراء المتقدمين ممن كان على مذاهب أهل العدل
",000,False,000,False,False,False,2,416
"### || AUTO [ذكر بعض أخبار الشعراء المتقدمين ممن كان على مذهب أهل الجبر]
",000,False,000,False,False,False,2,154
"### || CHECK مسألة فى الاستدلال على نفى الرؤية بالأبصار
",000,False,000,False,False,False,2,561
"### | AUTO [3]
",000,False,000,False,False,False,1,34
"### | AUTO 3
",000,False,000,False,False,False,1,19
"### | AUTO 3
",000,False,000,False,False,False,1,64
"### | AUTO 3)
",000,False,000,False,False,False,1,2352
"### || CHECK تأويل آية أخرى وإذ أخذ ربك من بني آدم من ظهورهم ذريتهم
",000,False,000,False,False,False,2,683
"### || CHECK تأويل خبر""ليس منا من لم يتغن بالقرآن""
",000,False,000,False,False,False,2,804
"### || CHECK مسألة: الكلام على قوله تعالى: وجوه يومئذ ناضرة. إلى ربها ناظرة
",000,False,000,False,False,False,2,370
"### | AUTO [4]
",000,False,000,False,False,False,1,161
"### | AUTO 4
",000,False,000,False,False,False,1,1961
"### || CHECK تأويل آية أخرى ذلك يوم مجموع له الناس ...
",000,False,000,False,False,False,2,327
"### || CHECK تأويل خبر: ""لا تسبوا الدهر، فإن الدهر هو الله"".
",000,False,000,False,False,False,2,365
"### || CHECK مسألة فى ذكر المنافع التى عرض الله الإحياء لها
",000,False,000,False,False,False,2,536
"### | AUTO [5]
",000,False,000,False,False,False,1,2637
"### || CHECK تأويل خبر عن النبي ص أنه قال: ""إن أحب الأعمال إلى الله عز وجل أدومها وإن قل
",000,False,000,False,False,False,2,480
"### || AUTO [خبر حسد الفرزدق لليلى الأخيلية على أبيات قالتها]
",000,False,000,False,False,False,2,133
"### || AUTO [خبره مع الكميت حين عرض عليه أبياتا له من قصيدة]
",000,False,000,False,False,False,2,165
"### || AUTO [خبره عند سليمان بن عبد الملك]
",000,False,000,False,False,False,2,285
"### || AUTO [خبر تنسكه فى آخر عمره وما قاله من شعر فى ذلك]
",000,False,000,False,False,False,2,372
"### || AUTO [عود إلى خبره مع الكميت]
",000,False,000,False,False,False,2,170
"### || AUTO [خبر مديحه لعلي بن الحسين بن علي]
",000,False,000,False,False,False,2,340
"### | AUTO [6]
",000,False,000,False,False,False,1,3105
"### || CHECK تأويل خبر""مما أدرك الناس من كلام النبوة الأولى إذا لم تستحى فاصنع ما شئت"".
",000,False,000,False,False,False,2,352
"### || CHECK تأويل خبر آخر خبر على بن أبى طالب ومارية القبطية، وتفسير ما ورد فيه من غريب
",000,False,000,False,False,False,2,1019
"### || AUTO [ما قالته العرب فى أحوال القمر، وتفسير ما ورد فى ذلك من الغريب]
",000,False,000,False,False,False,2,731
"### | AUTO [7]
",000,False,000,False,False,False,1,30
"### | AUTO 7
",000,False,000,False,False,False,1,130
"### | AUTO 7
",000,False,000,False,False,False,1,2621
"### || CHECK تأويل خبر تقيء الأرض أفلاذ كبدها مثل الأسطوان
",000,False,000,False,False,False,2,483
"### || AUTO [أبيات للخنساء فى مدح أخيها، ثم استطراد لذكر أبيات تشبهها]
",000,False,000,False,False,False,2,673
"### | AUTO 8
",000,False,000,False,False,False,1,38
"### | AUTO 8]
",000,False,000,False,False,False,1,2197
"### || CHECK تأويل خبر قيس بن عاصم حين وفد على الرسول عليه السلام وشرح ما ورد فى ذلك من الغريب
",000,False,000,False,False,False,2,935
"### || AUTO [بعض أخبار قيس بن عاصم]
",000,False,000,False,False,False,2,232
"### || CHECK قصيدة للمؤلف أجاز بها بيت أبى دهبل: وأبرزتها من بطن مكة عند ما # أصات المنادى بالصلاة فأعتما
",000,False,000,False,False,False,2,153
"### || AUTO [نسب أبى دهبل وذكر بعض أشعاره]
",000,False,000,False,False,False,2,577
"### | AUTO 9
",000,False,000,False,False,False,1,3705
"### || AUTO [إيراد طائفة من شعر العرب مما وقع فيه التكرار]
",000,False,000,False,False,False,2,363
"### || CHECK فصل فى أخبار الدهريين والزنادقة المتهتكين ممن كانوا فى صدر الإسلام
",000,False,000,False,False,False,2,388
"### || AUTO [أخبار الوليد بن يزيد بن عبد الملك]
",000,False,000,False,False,False,2,347
"### || AUTO [أخبار حماد الراوية]
",000,False,000,False,False,False,2,205
"### || AUTO [أخبار حماد بن الزبرقان]
",000,False,000,False,False,False,2,85
"### || AUTO [أخبار حماد عجرد]
",000,False,000,False,False,False,2,328
"### || AUTO [أخبار ابن المقفع، وإيراد بعض كلامه]
",000,False,000,False,False,False,2,511
"### || AUTO [أخبار ابن أبى العوجاء]
",000,False,000,False,False,False,2,93
"### | AUTO 10
",000,False,000,False,False,False,1,3880
"### || AUTO [أخبار مطيع بن إياس
",000,False,000,False,False,False,2,66
"### || AUTO أخبار مطيع بن إياس
",000,False,000,False,False,False,2,84
"### || AUTO [أخبار يحيى بن زياد الحارثى
",000,False,000,False,False,False,2,222
"### || AUTO [أخبار صالح بن عبد القدوس
",000,False,000,False,False,False,2,343
"### || AUTO [أخبار على بن الخليل
",000,False,000,False,False,False,2,259
"### || AUTO [الكلام على أن أصول مذهب أهل العدل مأخوذة من كلام على بن أبى طالب
",000,False,000,False,False,False,2,1038
"### | AUTO 11
",000,False,000,False,False,False,1,2018
"### || AUTO [أخبار واصل بن عطاء
",000,False,000,False,False,False,2,436
"### || AUTO [مناظرة واصل بن عطاء وعمرو بن عبيد فى القول بالمنزلة بين المنزلتين]
",000,False,000,False,False,False,2,927
"### | AUTO 12
",000,False,000,False,False,False,1,2883
"### || AUTO [عمرو بن عبيد وأبو جعفر المنصور
",000,False,000,False,False,False,2,696
"### || AUTO [عمرو بن عبيد وهشام بن الحكم
",000,False,000,False,False,False,2,120
"### || AUTO [عمرو بن عبيد وسليمان بن على
",000,False,000,False,False,False,2,135
"### || AUTO [كلام عمرو بن عبيد على القدر
",000,False,000,False,False,False,2,166
"### || AUTO [أخبار أبى الهذيل العلاف وأخباره]
",000,False,000,False,False,False,2,1200
"### | AUTO 13
",000,False,000,False,False,False,1,2684
"### || AUTO [أخبار بشر بن المعتمد وإيراد بعض أشعاره
",000,False,000,False,False,False,2,300
"### || AUTO [أخبار إبراهيم بن إسحاق النظام وبعض أشعاره
",000,False,000,False,False,False,2,365
"### || AUTO [اختبار لبيد بهجائه للبقلة وخبره مع الربيع بن زياد عند النعمان
",000,False,000,False,False,False,2,900
"### || AUTO [أخبار الجاحظ ونتف من كلامه
",000,False,000,False,False,False,2,1104
"### | AUTO 14
",000,False,000,False,False,False,1,2785
"### || AUTO [خبر قيس بن زهير العبسى مع النمر بن قاسط
",000,False,000,False,False,False,2,385
"### || AUTO [خير يوم داحس والغبراء وتفسير ما ورد فى ذلك من الأمثال
",000,False,000,False,False,False,2,340
"### || AUTO [مقتل زهير بن جذيمة العبسى
",000,False,000,False,False,False,2,7
"### || AUTO مقتل زهير بن جذيمة العبسى
",000,False,000,False,False,False,2,463
"### || AUTO [خبر يوم الهباءة
",000,False,000,False,False,False,2,159
"### | AUTO 15
",000,False,000,False,False,False,1,2361
"### || CHECK تأويل خبر خبر النبي عليه السلام حين دعى إلى مأدبة ومعه الحسين وهو صبى، وتأويل ما ورد من الغريب فى ذلك
",000,False,000,False,False,False,2,272
"### || AUTO [من كلام ابنة الخس وتأويل ما ورد فى ذلك من الغريب
",000,False,000,False,False,False,2,204
"### || CHECK تأويل قول العرب: ""جاءنا بطعام لا ينادى وليده""
",000,False,000,False,False,False,2,136
"### || AUTO [أخبار معن بن زائدة
",000,False,000,False,False,False,2,1102
"### | AUTO 16
",000,False,000,False,False,False,1,2614
"### | AUTO 17
",000,False,000,False,False,False,1,1914
"### || AUTO [أخبار ذى الإصبع العدوانى وحديثه مع بناته الأربع
",000,False,000,False,False,False,2,871
"### || AUTO [خبر عبد الملك بن مروان مع سعيد بن خالد الجدلى
",000,False,000,False,False,False,2,281
"### || AUTO [إيراد شعر لذى الإصبع وشرج ما ورد فى ذلك من الغريب
",000,False,000,False,False,False,2,306
